customer_id,age,gender,region,plan_type,total_usage,login_count,transaction_count,total_revenue,satisfaction_score,support_tickets,registration_date,last_activity_date,days_since_registration,days_since_activity,usage_intensity,engagement_score,marketing_channel,device_type,churned
39,61,M,East,Enterprise,600,16,5,116.7012966558301,3.8883612770032707,2,2026-06-04 19:08:54.146636,2026-08-30 19:08:54.146636,87,0,6.818181818181818,0.23863636363636365,Social Media,Tablet,0
40,69,F,South,Basic,107,12,5,309.96348189099933,4.606218193199301,3,2026-07-26 19:08:54.146636,2026-08-30 19:08:54.146636,35,0,2.9722222222222223,0.4722222222222222,Email,Desktop,0
41,20,F,West,Premium,92,13,9,272.7295524045026,3.043685576557332,4,2025-11-30 19:08:54.146636,2026-03-09 19:08:54.146636,273,174,0.3357664233576642,0.08029197080291971,Social Media,Mobile,1
42,54,F,East,Premium,1196,18,6,146.12040660886132,2.824512102398402,3,2025-05-22 19:08:54.146636,2025-08-29 19:08:54.146636,465,366,2.5665236051502145,0.05150214592274678,Paid Ads,Tablet,1
43,68,M,South,Basic,167,10,9,330.9168470050468,2.395698993380326,1,2024-08-14 19:08:54.146636,2024-11-21 19:08:54.146636,746,647,0.22356091030789826,0.025435073627844713,Organic,Mobile,1
44,24,M,North,Basic,113,12,9,126.21046519913385,4.376143823328199,1,2025-02-17 19:08:54.146636,2025-05-27 19:08:54.146636,559,460,0.2017857142857143,0.0375,Social Media,Tablet,1
45,38,F,North,Premium,364,9,4,1037.0705106408714,3.8604262619356406,0,2024-06-21 19:08:54.146636,2024-09-28 19:08:54.146636,800,701,0.4544319600499376,0.016229712858926344,Social Media,Tablet,1
46,26,M,South,Premium,203,15,13,3745.514890604829,4.706745016950325,2,2023-11-30 19:08:54.146636,2024-03-08 19:08:54.146636,1004,905,0.2019900497512438,0.027860696517412936,Referral,Mobile,1
47,56,F,West,Basic,243,14,5,827.0763202581576,1.4951697428633284,1,2024-10-19 19:08:54.146636,2025-01-26 19:08:54.146636,680,581,0.3568281938325991,0.027900146842878122,Email,Desktop,1
48,35,F,East,Enterprise,61,16,9,341.2912314162918,3.0503531640256325,3,2024-05-20 19:08:54.146636,2024-08-27 19:08:54.146636,832,733,0.07322929171668667,0.030012004801920768,Paid Ads,Tablet,1
49,21,M,West,Basic,269,12,3,2607.973454566365,4.639092726473448,2,2024-01-30 19:08:54.146636,2024-05-08 19:08:54.146636,943,844,0.2849576271186441,0.015889830508474576,Paid Ads,Mobile,1
50,42,M,East,Basic,285,14,7,604.8507724264191,2.704084401455247,3,2023-12-31 19:08:54.146636,2024-04-08 19:08:54.146636,973,874,0.2926078028747433,0.021560574948665298,Organic,Desktop,1
51,31,F,East,Basic,79,17,13,813.5298508050564,1.1336371146124349,1,2026-06-05 19:08:54.146636,2026-08-30 19:08:54.146636,86,0,0.9080459770114943,0.3448275862068966,Referral,Desktop,0
52,67,F,West,Premium,322,13,9,400.6380357557345,1.6604206258915601,1,2024-07-18 19:08:54.146636,2024-10-25 19:08:54.146636,773,674,0.4160206718346253,0.028423772609819122,Social Media,Desktop,1
53,26,M,North,Basic,64,21,8,1181.237798708898,2.123518376014745,2,2025-08-24 19:08:54.146636,2025-12-01 19:08:54.146636,371,272,0.17204301075268819,0.07795698924731183,Referral,Tablet,1
54,43,M,North,Premium,69,11,7,272.0054960960298,3.8537793168742702,0,2024-03-26 19:08:54.146636,2024-07-03 19:08:54.146636,887,788,0.0777027027027027,0.02027027027027027,Email,Tablet,1
55,19,M,East,Basic,247,10,7,1106.2644007703336,1.333742505245425,2,2024-02-03 19:08:54.146636,2024-05-12 19:08:54.146636,939,840,0.26276595744680853,0.018085106382978722,Organic,Mobile,1
56,37,F,North,Basic,630,16,12,995.3968882534724,1.9897663573817423,2,2024-12-14 19:08:54.146636,2025-03-23 19:08:54.146636,624,525,1.008,0.0448,Paid Ads,Desktop,1
57,45,F,North,Premium,166,18,9,179.4398118683004,2.2438742660284428,5,2025-11-12 19:08:54.146636,2026-02-19 19:08:54.146636,291,192,0.5684931506849316,0.09246575342465753,Social Media,Tablet,1
58,64,F,North,Premium,85,14,8,1049.440594009955,3.3504260039033142,2,2025-06-01 19:08:54.146636,2025-09-08 19:08:54.146636,455,356,0.18640350877192982,0.04824561403508772,Paid Ads,Mobile,1
59,24,M,West,Basic,323,18,12,2822.093705369557,2.7913156261833314,0,2024-05-18 19:08:54.146636,2024-08-25 19:08:54.146636,834,735,0.38682634730538923,0.03592814371257485,Paid Ads,Tablet,1
60,61,F,South,Premium,228,8,8,355.10780101110845,2.359919741136503,5,2025-01-16 19:08:54.146636,2025-04-25 19:08:54.146636,591,492,0.38513513513513514,0.02702702702702703,Referral,Desktop,1
61,25,F,South,Premium,775,16,13,154.27814922967679,1.274721361123563,3,2023-09-07 19:08:54.146636,2023-12-15 19:08:54.146636,1088,989,0.711662075298439,0.02662993572084481,Paid Ads,Tablet,1
62,64,F,North,Premium,80,16,7,672.0072936714797,4.645652232986361,2,2023-11-23 19:08:54.146636,2024-03-01 19:08:54.146636,1011,912,0.07905138339920949,0.022727272727272728,Referral,Desktop,1
63,52,M,North,Premium,342,15,3,250.91735543022324,1.8208113547452576,1,2025-06-20 19:08:54.146636,2025-09-27 19:08:54.146636,436,337,0.782608695652174,0.041189931350114416,Social Media,Mobile,1
64,31,F,West,Premium,110,19,7,916.4028068674207,2.6619915522347317,2,2025-03-17 19:08:54.146636,2025-06-24 19:08:54.146636,531,432,0.20676691729323307,0.04887218045112782,Referral,Mobile,1
65,34,M,North,Premium,536,12,7,4554.337350454455,3.484345397470208,4,2024-02-22 19:08:54.146636,2024-05-31 19:08:54.146636,920,821,0.5819761129207384,0.02062975027144408,Paid Ads,Desktop,1
66,53,F,East,Premium,360,12,7,2522.869429447466,4.064720552178558,0,2025-05-09 19:08:54.146636,2025-08-16 19:08:54.146636,478,379,0.7515657620041754,0.03966597077244259,Paid Ads,Tablet,1
67,67,F,South,Basic,171,18,7,301.8318526200819,2.9573342777624787,3,2025-05-05 19:08:54.146636,2025-08-12 19:08:54.146636,482,383,0.35403726708074534,0.051759834368530024,Email,Desktop,1
68,57,M,East,Basic,59,13,3,124.488689525256,2.958956411505992,1,2024-06-10 19:08:54.146636,2024-09-17 19:08:54.146636,811,712,0.07266009852216748,0.019704433497536946,Social Media,Tablet,1
69,21,M,West,Basic,280,20,7,352.8248738700466,1.6169088832123832,2,2025-01-09 19:08:54.146636,2025-04-18 19:08:54.146636,598,499,0.4674457429048414,0.045075125208681135,Organic,Mobile,1
70,19,M,North,Premium,173,18,12,1532.8311367452006,1.3395898775192787,3,2025-03-29 19:08:54.146636,2025-07-06 19:08:54.146636,519,420,0.3326923076923077,0.057692307692307696,Organic,Tablet,1
71,23,F,West,Basic,369,18,9,1268.4205534076634,2.7525811757442216,2,2024-09-06 19:08:54.146636,2024-12-14 19:08:54.146636,723,624,0.5096685082872928,0.03729281767955801,Email,Mobile,1
72,59,M,West,Basic,319,12,12,793.6945646917511,3.2001230203487174,2,2023-10-21 19:08:54.146636,2024-01-28 19:08:54.146636,1044,945,0.30526315789473685,0.022966507177033493,Email,Desktop,1
73,21,F,North,Enterprise,325,12,8,1698.2517025371048,1.9689321443926713,2,2025-10-23 19:08:54.146636,2026-01-30 19:08:54.146636,311,212,1.0416666666666667,0.0641025641025641,Organic,Tablet,1
74,46,F,East,Basic,87,14,5,1052.967367294893,4.050781592898158,1,2025-12-24 19:08:54.146636,2026-04-02 19:08:54.146636,249,150,0.348,0.076,Social Media,Mobile,1
75,35,M,West,Basic,164,13,8,1240.307753352489,2.257941866031643,5,2024-08-25 19:08:54.146636,2024-12-02 19:08:54.146636,735,636,0.22282608695652173,0.028532608695652172,Email,Desktop,1
76,43,M,North,Enterprise,176,13,7,404.0922599449677,2.257170254671736,3,2025-04-19 19:08:54.146636,2025-07-27 19:08:54.146636,498,399,0.3527054108216433,0.04008016032064128,Social Media,Desktop,1
77,61,M,South,Basic,357,24,13,308.8338742880213,1.3953159560450334,0,2023-10-14 19:08:54.146636,2024-01-21 19:08:54.146636,1051,952,0.33935361216730037,0.03517110266159696,Organic,Mobile,1
78,51,M,South,Enterprise,154,18,18,956.8009406970701,4.789711734089512,2,2025-08-03 19:08:54.146636,2025-11-10 19:08:54.146636,392,293,0.39185750636132316,0.0916030534351145,Paid Ads,Mobile,1
79,27,F,North,Basic,451,16,5,963.0375433655889,2.3158027944244983,2,2025-02-05 19:08:54.146636,2025-05-15 19:08:54.146636,571,472,0.7884615384615384,0.03671328671328671,Email,Desktop,1
80,53,F,South,Basic,114,18,10,1818.0521538740181,2.8272301502399326,2,2024-09-17 19:08:54.146636,2024-12-25 19:08:54.146636,712,613,0.15988779803646563,0.03927068723702665,Organic,Desktop,1
81,31,M,West,Basic,905,22,5,1213.6313812838553,1.937948873234618,1,2025-03-02 19:08:54.146636,2025-06-09 19:08:54.146636,546,447,1.6544789762340038,0.04936014625228519,Paid Ads,Mobile,1
82,48,M,North,Enterprise,68,13,4,297.43529726371423,1.436131134568945,1,2026-05-29 19:08:54.146636,2026-08-30 19:08:54.146636,93,0,0.723404255319149,0.18085106382978725,Email,Desktop,0
83,65,F,North,Premium,187,21,10,304.4028321543991,4.335386862163654,1,2026-04-08 19:08:54.146636,2026-07-16 19:08:54.146636,144,45,1.289655172413793,0.21379310344827587,Organic,Mobile,0
84,32,F,West,Basic,227,12,9,3405.425987941789,4.640152551570484,2,2024-10-26 19:08:54.146636,2025-02-02 19:08:54.146636,673,574,0.3367952522255193,0.03115727002967359,Social Media,Tablet,1
85,25,M,West,Premium,166,14,4,1053.8436894422928,3.956590230307233,3,2024-03-09 19:08:54.146636,2024-06-16 19:08:54.146636,904,805,0.18342541436464088,0.019889502762430938,Referral,Desktop,1
86,31,F,North,Basic,208,19,9,1148.604426296342,3.302822156895447,4,2024-05-06 19:08:54.146636,2024-08-13 19:08:54.146636,846,747,0.24557260920897284,0.03305785123966942,Referral,Desktop,1
87,40,F,South,Premium,351,17,10,971.1093873001748,2.129146829641277,2,2026-03-08 19:08:54.146636,2026-06-15 19:08:54.146636,175,76,1.9943181818181819,0.1534090909090909,Organic,Desktop,1
88,57,F,East,Basic,87,13,5,486.88313767672935,4.828681254215478,1,2025-04-18 19:08:54.146636,2025-07-26 19:08:54.146636,499,400,0.174,0.036,Social Media,Desktop,1
89,38,F,South,Enterprise,640,13,9,1731.1607995408554,4.7197559987481865,2,2023-09-08 19:08:54.146636,2023-12-16 19:08:54.146636,1087,988,0.5882352941176471,0.02022058823529412,Paid Ads,Desktop,1
90,33,F,South,Premium,149,12,8,1268.0954104229188,2.605081982844721,4,2023-11-20 19:08:54.146636,2024-02-27 19:08:54.146636,1014,915,0.14679802955665025,0.019704433497536946,Email,Tablet,1
91,62,F,East,Enterprise,244,24,6,602.3999563198304,1.1660352129745983,1,2024-12-25 19:08:54.146636,2025-04-03 19:08:54.146636,613,514,0.3973941368078176,0.048859934853420196,Social Media,Desktop,1
92,35,F,West,Premium,166,15,8,2714.305052976403,2.2784750770267483,0,2024-10-22 19:08:54.146636,2025-01-29 19:08:54.146636,677,578,0.2448377581120944,0.03392330383480826,Email,Tablet,1
93,64,F,South,Premium,232,11,3,424.35024697535493,1.9486147241797322,2,2024-08-02 19:08:54.146636,2024-11-09 19:08:54.146636,758,659,0.30566534914361,0.01844532279314888,Referral,Tablet,1
94,41,M,North,Premium,308,13,7,1373.2759377793002,4.830384111770236,2,2026-03-24 19:08:54.146636,2026-07-01 19:08:54.146636,159,60,1.925,0.125,Social Media,Tablet,0
95,43,F,South,Premium,191,15,7,3198.7566331067137,3.9826366368421455,2,2025-03-29 19:08:54.146636,2025-07-06 19:08:54.146636,519,420,0.36730769230769234,0.04230769230769231,Referral,Tablet,1
96,42,M,West,Basic,73,18,9,2083.647821281259,2.037034351931546,4,2024-08-30 19:08:54.146636,2024-12-07 19:08:54.146636,730,631,0.09986320109439124,0.036935704514363885,Social Media,Desktop,1
97,62,M,North,Premium,131,13,10,1076.9996552477492,1.1284302142478042,0,2025-06-25 19:08:54.146636,2025-10-02 19:08:54.146636,431,332,0.30324074074074076,0.05324074074074074,Social Media,Mobile,1
98,58,M,West,Premium,376,15,3,878.3619874942682,4.092852788963843,2,2023-09-09 19:08:54.146636,2023-12-17 19:08:54.146636,1086,987,0.34590616375344985,0.01655933762649494,Email,Tablet,1
99,46,M,North,Basic,218,22,5,785.4802718949757,2.171790494227824,4,2026-02-23 19:08:54.146636,2026-06-02 19:08:54.146636,188,89,1.1534391534391535,0.14285714285714285,Social Media,Desktop,0
100,32,M,West,Basic,334,13,9,1232.2258209430233,3.0509503394365605,1,2024-01-08 19:08:54.146636,2024-04-16 19:08:54.146636,965,866,0.34575569358178054,0.022774327122153208,Paid Ads,Desktop,1
101,62,F,South,Basic,488,18,10,383.9832012862047,4.875286464121782,1,2024-09-07 19:08:54.146636,2024-12-15 19:08:54.146636,722,623,0.6749654218533887,0.03872752420470263,Social Media,Tablet,1
102,18,M,West,Premium,165,11,11,1009.5715357724935,4.117004595216864,1,2024-02-05 19:08:54.146636,2024-05-14 19:08:54.146636,937,838,0.17590618336886993,0.023454157782515993,Email,Desktop,1
103,42,F,East,Basic,137,13,10,428.7761932896733,3.3830302667090772,3,2025-05-15 19:08:54.146636,2025-08-22 19:08:54.146636,472,373,0.28964059196617337,0.048625792811839326,Referral,Tablet,1
104,24,M,South,Basic,73,15,10,1495.4997805384296,1.868083034564878,3,2025-08-25 19:08:54.146636,2025-12-02 19:08:54.146636,370,271,0.1967654986522911,0.0673854447439353,Paid Ads,Mobile,1
105,26,F,West,Basic,113,12,10,809.2889679599291,3.8552861115740336,2,2025-05-31 19:08:54.146636,2025-09-07 19:08:54.146636,456,357,0.24726477024070023,0.04814004376367615,Organic,Desktop,1
106,41,F,South,Basic,159,17,5,1399.7071377809646,1.5768820183726335,5,2024-01-13 19:08:54.146636,2024-04-21 19:08:54.146636,960,861,0.16545265348595214,0.022892819979188347,Email,Desktop,1
107,18,M,West,Basic,78,16,11,1370.6059515090844,3.6224819151166265,1,2024-10-22 19:08:54.146636,2025-01-29 19:08:54.146636,677,578,0.11504424778761062,0.03982300884955752,Organic,Tablet,1
108,61,F,West,Enterprise,74,19,7,1093.0336260454858,2.5085137451318453,2,2025-12-08 19:08:54.146636,2026-03-17 19:08:54.146636,265,166,0.2781954887218045,0.09774436090225563,Paid Ads,Tablet,1
109,25,M,South,Basic,167,20,11,512.6398737259904,3.2371333620867344,2,2025-11-09 19:08:54.146636,2026-02-16 19:08:54.146636,294,195,0.5661016949152542,0.10508474576271186,Paid Ads,Desktop,1
110,41,F,North,Premium,143,16,9,849.7561499646753,2.092284276129983,1,2024-12-10 19:08:54.146636,2025-03-19 19:08:54.146636,628,529,0.2273449920508744,0.0397456279809221,Social Media,Tablet,1
111,28,F,North,Enterprise,424,15,10,144.80608254002556,4.902008523057925,6,2025-03-04 19:08:54.146636,2025-06-11 19:08:54.146636,544,445,0.7779816513761468,0.045871559633027525,Paid Ads,Tablet,1
112,68,M,West,Enterprise,55,14,14,800.805036329997,1.5077461020266374,3,2025-06-18 19:08:54.146636,2025-09-25 19:08:54.146636,438,339,0.1252847380410023,0.06378132118451026,Email,Mobile,1
113,34,F,East,Premium,338,17,8,278.8772627079701,2.4937682141993642,2,2024-04-24 19:08:54.146636,2024-08-01 19:08:54.146636,858,759,0.39348079161816063,0.02910360884749709,Referral,Desktop,1
114,25,F,East,Enterprise,96,11,5,488.69915348144445,3.772352970282495,0,2026-04-07 19:08:54.146636,2026-07-15 19:08:54.146636,145,46,0.6575342465753424,0.1095890410958904,Paid Ads,Tablet,0
115,52,F,West,Basic,473,18,10,462.6072870052343,2.7257007295895925,2,2025-07-01 19:08:54.146636,2025-10-08 19:08:54.146636,425,326,1.1103286384976525,0.06572769953051644,Paid Ads,Desktop,1
116,52,F,West,Premium,116,15,11,1214.4761612347706,1.9076295478543477,0,2026-04-10 19:08:54.146636,2026-07-18 19:08:54.146636,142,43,0.8111888111888111,0.18181818181818182,Organic,Mobile,0
117,50,F,South,Enterprise,209,15,10,1195.6358318226587,4.287752171438912,3,2023-11-08 19:08:54.146636,2024-02-15 19:08:54.146636,1026,927,0.2035053554040896,0.024342745861733205,Organic,Desktop,1
118,22,F,East,Basic,108,10,9,1107.1021049229894,2.6448618880160977,1,2026-06-22 19:08:54.146636,2026-08-30 19:08:54.146636,69,0,1.542857142857143,0.2714285714285714,Organic,Mobile,0
119,59,M,South,Basic,156,15,1,1731.1266196507472,1.843572650790294,1,2025-04-20 19:08:54.146636,2025-07-28 19:08:54.146636,497,398,0.3132530120481928,0.0321285140562249,Organic,Mobile,1
120,56,F,North,Premium,104,16,9,1492.1189304053855,2.764548520893373,3,2026-02-10 19:08:54.146636,2026-05-20 19:08:54.146636,201,102,0.5148514851485149,0.12376237623762376,Social Media,Mobile,1
121,58,M,South,Basic,143,29,5,737.2531566089979,2.4694602644901504,0,2026-07-08 19:08:54.146636,2026-08-30 19:08:54.146636,53,0,2.6481481481481484,0.6296296296296297,Email,Tablet,0
122,45,F,West,Basic,450,20,4,1049.9764385776134,1.9053697982001387,4,2024-04-09 19:08:54.146636,2024-07-17 19:08:54.146636,873,774,0.5148741418764302,0.02745995423340961,Organic,Mobile,1
123,24,M,South,Premium,287,14,11,3202.6873643695967,3.6982682238151683,4,2025-09-16 19:08:54.146636,2025-12-24 19:08:54.146636,348,249,0.8223495702005731,0.07163323782234957,Referral,Mobile,1
124,26,F,South,Basic,131,14,9,336.99247529759737,1.263726057291914,1,2025-11-07 19:08:54.146636,2026-02-14 19:08:54.146636,296,197,0.44107744107744107,0.07744107744107744,Social Media,Tablet,1
125,25,M,South,Basic,435,14,7,449.7526912679864,2.97294032791106,1,2024-10-07 19:08:54.146636,2025-01-14 19:08:54.146636,692,593,0.6277056277056277,0.030303030303030304,Paid Ads,Desktop,1
126,29,F,West,Enterprise,60,11,7,997.6683775685527,1.4725038264805952,1,2026-02-08 19:08:54.146636,2026-05-18 19:08:54.146636,203,104,0.29411764705882354,0.08823529411764706,Social Media,Mobile,1
127,51,M,West,Basic,294,15,4,2213.1840829605926,2.81014822319163,3,2025-05-14 19:08:54.146636,2025-08-21 19:08:54.146636,473,374,0.620253164556962,0.04008438818565401,Email,Tablet,1
128,50,M,East,Enterprise,246,18,6,495.94346716510603,4.282669214064512,1,2024-06-20 19:08:54.146636,2024-09-27 19:08:54.146636,801,702,0.30673316708229426,0.029925187032418952,Social Media,Tablet,1
129,65,M,South,Basic,143,12,11,1974.1672839584264,2.4201668770791827,1,2024-06-17 19:08:54.146636,2024-09-24 19:08:54.146636,804,705,0.17763975155279504,0.02857142857142857,Social Media,Desktop,1
130,40,F,North,Enterprise,156,21,5,971.7772461967662,3.933117299137904,4,2026-01-01 19:08:54.146636,2026-04-10 19:08:54.146636,241,142,0.6446280991735537,0.10743801652892562,Social Media,Tablet,1
131,41,F,South,Enterprise,145,14,6,476.64177374340807,1.2632080926729001,1,2024-09-27 19:08:54.146636,2025-01-04 19:08:54.146636,702,603,0.20625889046941678,0.02844950213371266,Email,Desktop,1
132,54,F,North,Basic,254,14,7,496.16989785719534,3.4733661393819775,4,2026-04-24 19:08:54.146636,2026-08-01 19:08:54.146636,128,29,1.9689922480620154,0.16279069767441862,Organic,Mobile,0
133,52,M,East,Enterprise,104,19,4,228.54271136453306,3.2052437421687245,2,2025-05-19 19:08:54.146636,2025-08-26 19:08:54.146636,468,369,0.22174840085287847,0.04904051172707889,Email,Desktop,1
134,61,F,South,Premium,1098,15,9,481.244313912022,4.938914173560445,2,2026-03-20 19:08:54.146636,2026-06-27 19:08:54.146636,163,64,6.695121951219512,0.14634146341463414,Organic,Tablet,0
